trigram,count
bay bay kemal,15
söz konusu değil,6
allah rahmet etsin,3
annelerin ayakları altındadır,3
diyarbakır kürt kardeşimizin,2
kürt kardeşimizin ölümüne,2
elini kolunu sallaya,2
kolunu sallaya sallaya,2
kürt kardeşimin ölümüne,2
milli eğitim bakanlığı,2
eğitim bakanlığı kitabındaki,2
bakanlığı kitabındaki şiiri,2
kitabındaki şiiri okudum,2
okudum beni içeri,2
beni içeri aldılar,2
yakından uzaktan alakası,2
biz ımf borç,2
dolup dolup taşıyor,2
cumhurbaşkanlığı senfoni orkestrası,2
biz göreve geldiğimizde,2
