anchor,cluster,following_word,count
ben,ben amerika,amerika,2
ben,ben kalkıp,kalkıp,2
ben,ben özellikle,özellikle,1
ben,ben bugünkü,bugünkü,1
ben,ben siyasetçiysem,siyasetçiysem,1
ben,ben batı,batı,1
ben,ben seninle,seninle,1
ben,ben olayım,olayım,1
ben,ben milletime,milletime,1
ben,ben inanıyorum,inanıyorum,1
ben,ben kürt,kürt,1
ben,ben bekir,bekir,1
ben,ben gittim,gittim,1
ben,ben arkadaşlarımı,arkadaşlarımı,1
ben,ben muhalefete,muhalefete,1
ben,ben şahsen,şahsen,1
biz,biz varız,varız,4
biz,biz açtık,açtık,2
biz,biz adeta,adeta,1
biz,biz amerika,amerika,1
biz,biz türkiye,türkiye,1
biz,biz buradan,buradan,1
biz,biz taviz,taviz,1
biz,biz kaldırdık,kaldırdık,1
biz,biz geldiğimizde,geldiğimizde,1
biz,biz asla,asla,1
biz,biz istanbul,istanbul,1
biz,biz seçim,seçim,1
biz,biz hayatımız,hayatımız,1
biz,biz yaradılanı,yaradılanı,1
biz,biz değil,değil,1
biz,biz hiçbir,hiçbir,1
biz,biz buyuz,buyuz,1
biz,biz milletimizin,milletimizin,1
biz,biz çiftçimiz,çiftçimiz,1
biz,biz karabağ,karabağ,1
biz,biz kars,kars,1
biz,biz yük,yük,1
devlet,devlet adamlığı,adamlığı,2
devlet,devlet hastanesi,hastanesi,2
devlet,devlet adamı,adamı,1
devlet,devlet yönetmede,yönetmede,1
devlet,devlet beyle,beyle,1
millet,millet oluşturamazsınız,oluşturamazsınız,1
millet,millet tek,tek,1
milletimiz,milletimiz sandıkta,sandıkta,1
milletimiz,milletimiz ola,ola,1
türk,türk bayrağı,bayrağı,2
türkiye,türkiye yüzyılı,yüzyılı,1
türkiye,türkiye inşası,inşası,1
türkiye,türkiye yüzyılını,yüzyılını,1
türkiye,türkiye yönetimine,yönetimine,1
türkiye,türkiye istediler,istediler,1
türkiye,türkiye demokratik,demokratik,1
türkiye,türkiye genelinde,genelinde,1
türkiye,türkiye kürt,kürt,1
türkiye,türkiye ekonomi,ekonomi,1
türkiye,türkiye gönderdi,gönderdi,1
türkiye,türkiye arasında,arasında,1
