anchor,cluster,following_word,count
ben,ben hiçbir,hiçbir,5
ben,ben adayım,adayım,4
ben,ben genel,genel,3
ben,ben size,size,3
ben,ben istediğim,istediğim,3
ben,ben terör,terör,2
ben,ben kalkıp,kalkıp,2
ben,ben seçtim,seçtim,2
ben,ben onlara,onlara,2
ben,ben tek,tek,2
ben,ben emine,emine,1
ben,ben kente,kente,1
ben,ben diyor,diyor,1
ben,ben çalışacağım,çalışacağım,1
ben,ben köyde,köyde,1
ben,ben sizin,sizin,1
ben,ben öğrenmeden,öğrenmeden,1
ben,ben alana,alana,1
ben,ben gerekçe,gerekçe,1
ben,ben asgari,asgari,1
ben,ben parti,parti,1
ben,ben grup,grup,1
ben,ben istiyorum,istiyorum,1
ben,ben ısrar,ısrar,1
ben,ben yapmıyorum,yapmıyorum,1
ben,ben siyasal,siyasal,1
ben,ben ahlaki,ahlaki,1
ben,ben sandıkta,sandıkta,1
ben,ben varız,varız,1
ben,ben yerel,yerel,1
biz,biz diğer,diğer,3
biz,biz üretmiyoruz,üretmiyoruz,2
biz,biz kendi,kendi,2
biz,biz onları,onları,2
biz,biz iyi,iyi,2
biz,biz yönetiyoruz,yönetiyoruz,2
biz,biz demokrasiyi,demokrasiyi,2
biz,biz gerçekten,gerçekten,1
biz,biz kazanıyoruz,kazanıyoruz,1
biz,biz su,su,1
biz,biz yeniden,yeniden,1
biz,biz yönetmeliklere,yönetmeliklere,1
biz,biz bakın,bakın,1
biz,biz teröre,teröre,1
biz,biz cumhuriyet,cumhuriyet,1
biz,biz bölücü,bölücü,1
biz,biz pazar,pazar,1
biz,biz iki,iki,1
biz,biz yeni,yeni,1
biz,biz başka,başka,1
biz,biz yaptık,yaptık,1
biz,biz onlardan,onlardan,1
biz,biz geçmişi,geçmişi,1
biz,biz aklımızla,aklımızla,1
biz,biz değil,değil,1
biz,biz kırsalda,kırsalda,1
biz,biz sabırla,sabırla,1
biz,biz yüzde,yüzde,1
biz,biz oraya,oraya,1
biz,biz yapmadık,yapmadık,1
devlet,devlet adamı,adamı,2
devlet,devlet demek,demek,1
devlet,devlet anlayışında,anlayışında,1
devlet,devlet gerçek,gerçek,1
devlet,devlet kontrol,kontrol,1
devlet,devlet ödeyecek,ödeyecek,1
devlet,devlet terbiyesi,terbiyesi,1
devlet,devlet yönetimi,yönetimi,1
devlet,devlet cumhuriyeti,cumhuriyeti,1
devlet,devlet örnek,örnek,1
devlet,devlet özür,özür,1
devlet,devlet adamıyla,adamıyla,1
devlet,devlet tehlikede,tehlikede,1
millet,millet meclisi,meclisi,2
millet,millet ittifakı,ittifakı,1
millet,millet seçimini,seçimini,1
türk,türk siyaseti,siyaseti,1
türk,türk profesörlerle,profesörlerle,1
türk,türk lirası,lirası,1
türkiye,türkiye cumhuriyeti,cumhuriyeti,5
türkiye,türkiye üretmesi,üretmesi,2
türkiye,türkiye büyük,büyük,2
türkiye,türkiye güçlü,güçlü,2
türkiye,türkiye kökenli,kökenli,2
türkiye,türkiye buradan,buradan,2
türkiye,türkiye bitti,bitti,2
türkiye,türkiye üreten,üreten,1
türkiye,türkiye kazanacak,kazanacak,1
türkiye,türkiye türkiye,türkiye,1
türkiye,türkiye katma,katma,1
türkiye,türkiye özgürleşmiş,özgürleşmiş,1
türkiye,türkiye gerçeği,gerçeği,1
türkiye,türkiye süratle,süratle,1
türkiye,türkiye bulunduğu,bulunduğu,1
türkiye,türkiye savunma,savunma,1
türkiye,türkiye meselesi,meselesi,1
türkiye,türkiye demiştim,demiştim,1
türkiye,türkiye genelinde,genelinde,1
türkiye,türkiye olayıdır,olayıdır,1
türkiye,türkiye olayı,olayı,1
türkiye,türkiye ekseninden,ekseninden,1
türkiye,türkiye geleceğe,geleceğe,1
türkiye,türkiye gerçek,gerçek,1
türkiye,türkiye nüfusunun,nüfusunun,1
türkiye,türkiye teknoloji,teknoloji,1
türkiye,türkiye hakkari,hakkari,1
türkiye,türkiye battı,battı,1
türkiye,türkiye üzerinden,üzerinden,1
türkiye,türkiye geleceğiyle,geleceğiyle,1
