anchor,cluster,following_word,count
ben,ben emine,emine,1
ben,ben kente,kente,1
ben,ben terör,terör,1
ben,ben diyor,diyor,1
ben,ben çalışacağım,çalışacağım,1
ben,ben köyde,köyde,1
biz,biz gerçekten,gerçekten,1
biz,biz kazanıyoruz,kazanıyoruz,1
biz,biz su,su,1
biz,biz üretmiyoruz,üretmiyoruz,1
biz,biz yeniden,yeniden,1
biz,biz yönetmeliklere,yönetmeliklere,1
biz,biz bakın,bakın,1
biz,biz teröre,teröre,1
biz,biz cumhuriyet,cumhuriyet,1
biz,biz bölücü,bölücü,1
biz,biz pazar,pazar,1
biz,biz iki,iki,1
biz,biz yeni,yeni,1
biz,biz başka,başka,1
biz,biz kendi,kendi,1
biz,biz yaptık,yaptık,1
biz,biz onlardan,onlardan,1
biz,biz geçmişi,geçmişi,1
biz,biz aklımızla,aklımızla,1
biz,biz değil,değil,1
biz,biz kırsalda,kırsalda,1
biz,biz sabırla,sabırla,1
devlet,devlet demek,demek,1
devlet,devlet anlayışında,anlayışında,1
devlet,devlet gerçek,gerçek,1
devlet,devlet kontrol,kontrol,1
devlet,devlet ödeyecek,ödeyecek,1
millet,millet ittifakı,ittifakı,1
millet,millet meclisi,meclisi,1
türk,türk siyaseti,siyaseti,1
türkiye,türkiye üretmesi,üretmesi,2
türkiye,türkiye güçlü,güçlü,2
türkiye,türkiye buradan,buradan,2
türkiye,türkiye üreten,üreten,1
türkiye,türkiye kazanacak,kazanacak,1
türkiye,türkiye türkiye,türkiye,1
türkiye,türkiye katma,katma,1
türkiye,türkiye özgürleşmiş,özgürleşmiş,1
türkiye,türkiye gerçeği,gerçeği,1
türkiye,türkiye süratle,süratle,1
türkiye,türkiye büyük,büyük,1
türkiye,türkiye bulunduğu,bulunduğu,1
türkiye,türkiye savunma,savunma,1
türkiye,türkiye kökenli,kökenli,1
türkiye,türkiye meselesi,meselesi,1
türkiye,türkiye demiştim,demiştim,1
