anchor,cluster,following_word,count
ben,ben türk,türk,4
ben,ben cumhurbaşkanı,cumhurbaşkanı,3
ben,ben evime,evime,3
ben,ben sizin,sizin,3
ben,ben size,size,3
ben,ben inanıyorum,inanıyorum,2
ben,ben türkiye,türkiye,2
ben,ben bireysel,bireysel,2
ben,ben ihraç,ihraç,2
ben,ben başka,başka,2
ben,ben buradan,buradan,2
ben,ben aday,aday,2
ben,ben sorumluluk,sorumluluk,2
ben,ben anlamıyorum,anlamıyorum,2
ben,ben kahraman,kahraman,2
ben,ben çocukluğum,çocukluğum,1
ben,ben imam,imam,1
ben,ben iş,iş,1
ben,ben vatandaşlarıma,vatandaşlarıma,1
ben,ben zamanında,zamanında,1
ben,ben elbette,elbette,1
ben,ben çağrıda,çağrıda,1
ben,ben teşekkür,teşekkür,1
ben,ben ığdırlıyım,ığdırlıyım,1
ben,ben saydım,saydım,1
ben,ben karar,karar,1
ben,ben soru,soru,1
ben,ben yıllardır,yıllardır,1
ben,ben hemen,hemen,1
ben,ben rakka,rakka,1
biz,biz hdp,hdp,3
biz,biz asgari,asgari,2
biz,biz ilk,ilk,2
biz,biz türkiye,türkiye,2
biz,biz evimize,evimize,2
biz,biz türk,türk,2
biz,biz bize,bize,2
biz,biz sayın,sayın,2
biz,biz ilkeler,ilkeler,2
biz,biz milletimizi,milletimizi,1
biz,biz kayıtsız,kayıtsız,1
biz,biz net,net,1
biz,biz internette,internette,1
biz,biz bugün,bugün,1
biz,biz hepimiz,hepimiz,1
biz,biz ciddi,ciddi,1
biz,biz öncelikle,öncelikle,1
biz,biz son,son,1
biz,biz cumhurbaşkanlığı,cumhurbaşkanlığı,1
biz,biz doğrudan,doğrudan,1
biz,biz türkiyeyi,türkiyeyi,1
biz,biz devleti,devleti,1
biz,biz kendimiz,kendimiz,1
biz,biz kendimizi,kendimizi,1
biz,biz yöneteceğiz,yöneteceğiz,1
biz,biz ığdır,ığdır,1
biz,biz komşusu,komşusu,1
biz,biz yeterince,yeterince,1
biz,biz yasaklamışız,yasaklamışız,1
biz,biz batı,batı,1
